ride_id,customer_id,driver_id,ride_date,pickup_city,drop_city,distance_km,fare,status,rating
R0064,C004,D010,2025-03-26,Pune,Bengaluru,4.34,142.15,Completed,5
R0065,C014,D008,2025-03-01,Pune,Delhi,14.25,299.74,Completed,3
R0066,C005,D007,2025-03-23,Mumbai,Hyderabad,24.1,0,Cancelled,
R0067,C016,D008,2025-03-25,Delhi,Hyderabad,24.21,707.87,Completed,5
R0068,C015,D004,2025-03-09,Delhi,Hyderabad,8.17,265.21,Completed,1
R0069,C001,D008,2025-03-11,Bengaluru,Mumbai,16.04,0,Cancelled,
R0070,C020,D005,2025-03-09,Hyderabad,Pune,13.21,422.29,Completed,3
R0071,C018,D004,2025-03-16,Delhi,Delhi,13.88,295.42,Completed,4
R0072,C008,D005,2025-03-13,Hyderabad,Bengaluru,12.31,263.38,Completed,2
R0073,C012,D008,2025-03-11,Bengaluru,Bengaluru,12.88,339.81,Completed,5
R0074,C018,D003,2025-03-04,Mumbai,Mumbai,7.78,239.77,Completed,3
R0075,C010,D002,2025-03-20,Mumbai,Bengaluru,18.99,586.2,Completed,5
R0076,C009,D001,2025-03-05,Pune,Hyderabad,7.23,177.38,Completed,5
R0077,C001,D010,2025-03-04,Bengaluru,Delhi,8.72,257.83,Completed,4
R0078,C016,D002,2025-03-09,Pune,Delhi,13.01,296.18,Completed,1
R0079,C010,D002,2025-03-31,Mumbai,Pune,13.31,296.49,Completed,5
R0080,C020,D010,2025-03-20,Mumbai,Hyderabad,14.84,0,Cancelled,
R0081,C019,D007,2025-03-10,Bengaluru,Hyderabad,10.75,0,Cancelled,
R0082,C007,D005,2025-03-21,Pune,Mumbai,16.28,557.0,Completed,2
R0083,C020,D008,2025-03-15,Bengaluru,Pune,7.52,168.06,Completed,4
R0084,C008,D005,2025-03-03,Hyderabad,Mumbai,7.32,223.59,Completed,4
R0085,C005,D002,2025-03-27,Pune,Mumbai,11.78,350.04,Completed,3
R0086,C010,D007,2025-03-23,Bengaluru,Hyderabad,20.23,537.86,Completed,4
R0087,C020,D001,2025-03-03,Delhi,Bengaluru,14.42,0,Cancelled,
R0088,C001,D005,2025-03-19,Hyderabad,Pune,15.89,339.57,Completed,5
R0089,C009,D003,2025-03-30,Hyderabad,Delhi,19.55,528.97,Completed,4
R0090,C016,D006,2025-03-03,Delhi,Bengaluru,16.6,0,Cancelled,
R0091,C016,D005,2025-03-14,Delhi,Hyderabad,9.38,308.28,Completed,3
R0092,C013,D009,2025-03-04,Pune,Hyderabad,2.84,70.2,Completed,3
R0093,C016,D008,2025-03-20,Pune,Mumbai,12.63,288.14,Completed,3
R0094,C016,D002,2025-03-29,Pune,Hyderabad,8.14,276.07,Completed,4
R0095,C014,D002,2025-03-18,Mumbai,Pune,20.38,502.6,Completed,1
R0096,C010,D009,2025-03-16,Bengaluru,Delhi,12.61,374.71,Completed,2
R0097,C015,D009,2025-03-08,Mumbai,Delhi,21.2,0,Cancelled,
R0098,C014,D006,2025-03-25,Hyderabad,Bengaluru,6.38,210.29,Completed,3
R0099,C016,D003,2025-03-19,Delhi,Hyderabad,20.87,644.69,Completed,5
R0100,C015,D006,2025-03-13,Mumbai,Mumbai,13.14,371.58,Completed,5
